time,heading,desired_heading
0.439500093460083,133.1999969482422,0.0
0.6384568214416504,133.1999969482422,0.0
0.8920142650604248,133.1999969482422,0.0
1.0807225704193115,134.1999969482422,0.0
1.300471305847168,134.1999969482422,0.0
1.491405725479126,135.1999969482422,0.0
1.68815279006958,135.1999969482422,0.0
1.9055979251861572,135.1999969482422,0.0
2.128901481628418,136.1999969482422,0.0
2.340787887573242,136.1999969482422,0.0
2.531841516494751,136.1999969482422,0.0
2.7750542163848877,137.1999969482422,0.0
3.042025327682495,137.1999969482422,0.0
3.2306320667266846,137.1999969482422,0.0
3.420588493347168,137.1999969482422,0.0
3.614650249481201,139.1999969482422,0.0
3.82949161529541,139.1999969482422,0.0
4.067424058914185,139.1999969482422,0.0
4.254622936248779,140.1999969482422,0.0
4.497606515884399,140.1999969482422,0.0
4.686318397521973,141.1999969482422,0.0
4.897372722625732,141.1999969482422,0.0
5.1790244579315186,143.1999969482422,0.0
5.3945631980896,143.1999969482422,0.0
5.604947090148926,143.1999969482422,0.0
6.07354736328125,144.1999969482422,0.0
6.283456563949585,146.1999969482422,0.0
6.464963912963867,146.1999969482422,0.0
6.673224687576294,147.1999969482422,0.0
6.88132643699646,147.1999969482422,0.0
7.113707065582275,147.1999969482422,0.0
7.340372800827026,148.1999969482422,0.0
7.515512228012085,148.1999969482422,0.0
7.754509449005127,148.1999969482422,0.0
8.084061861038208,149.1999969482422,0.0
8.305639266967773,149.1999969482422,0.0
8.51183557510376,149.1999969482422,0.0
8.709664583206177,151.1999969482422,0.0
8.959125757217407,151.1999969482422,0.0
9.205966711044312,152.1999969482422,0.0
9.441047430038452,152.1999969482422,0.0
9.704903841018677,153.1999969482422,0.0
9.886483669281006,153.1999969482422,0.0
10.078468084335327,154.1999969482422,0.0
10.422037839889526,154.1999969482422,0.0
10.612406969070435,155.1999969482422,0.0
10.836228847503662,155.1999969482422,0.0
11.035277128219604,155.1999969482422,0.0
11.23935604095459,156.1999969482422,0.0
11.487693548202515,156.1999969482422,0.0
11.650825262069702,156.1999969482422,0.0
11.828545808792114,156.1999969482422,0.0
12.078614234924316,156.1999969482422,0.0
12.288278102874756,158.1999969482422,0.0
12.532811164855957,158.1999969482422,0.0
12.714129209518433,158.1999969482422,0.0
12.967605829238892,158.1999969482422,0.0
13.156661748886108,158.1999969482422,0.0
13.358529806137085,159.1999969482422,0.0
13.567691326141357,159.1999969482422,0.0
13.760140180587769,160.1999969482422,0.0
13.928460121154785,160.1999969482422,0.0
14.653959512710571,160.1999969482422,0.0
14.922640800476074,161.1999969482422,0.0
15.13779091835022,161.1999969482422,0.0
15.340627193450928,161.1999969482422,0.0
15.550984859466553,161.1999969482422,0.0
15.733751773834229,162.1999969482422,0.0
16.03210735321045,162.1999969482422,0.0
16.223029613494873,162.1999969482422,0.0
16.44291853904724,162.1999969482422,0.0
16.708375930786133,162.1999969482422,0.0
16.89722180366516,163.1999969482422,0.0
17.093368530273438,163.1999969482422,0.0
17.29613733291626,163.1999969482422,0.0
17.527358055114746,163.1999969482422,0.0
18.3148193359375,164.1999969482422,0.0
18.542274951934814,164.1999969482422,0.0
19.904899835586548,165.1999969482422,0.0
20.110413551330566,166.1999969482422,0.0
20.328178882598877,166.1999969482422,0.0
20.758227825164795,166.1999969482422,0.0
20.960349798202515,167.1999969482422,0.0
21.168941974639893,167.1999969482422,0.0
21.403147220611572,167.1999969482422,0.0
21.61948037147522,167.1999969482422,0.0
21.824711561203003,167.1999969482422,0.0
22.014384984970093,167.1999969482422,0.0
22.18010401725769,167.1999969482422,0.0
22.38680124282837,167.1999969482422,0.0
22.60106372833252,167.1999969482422,0.0
22.77581477165222,167.1999969482422,0.0
22.980290174484253,168.1999969482422,0.0
23.209007740020752,168.1999969482422,0.0
23.433512210845947,168.1999969482422,0.0
23.65537428855896,168.1999969482422,0.0
23.870521306991577,168.1999969482422,0.0
24.073237657546997,169.1999969482422,0.0
24.265462398529053,169.1999969482422,0.0
24.464229822158813,169.1999969482422,0.0
24.7572660446167,169.1999969482422,0.0
24.935499668121338,169.1999969482422,0.0
25.20166254043579,169.1999969482422,0.0
25.43035888671875,169.1999969482422,0.0
25.661019325256348,169.1999969482422,0.0
25.84525227546692,169.1999969482422,0.0
26.03957772254944,170.1999969482422,0.0
26.22762107849121,170.1999969482422,0.0
26.42667007446289,170.1999969482422,0.0
26.643893003463745,170.1999969482422,0.0
26.97747802734375,170.1999969482422,0.0
27.17143225669861,170.1999969482422,0.0
27.379456520080566,170.1999969482422,0.0
27.623739004135132,170.1999969482422,0.0
27.850170850753784,170.1999969482422,0.0
28.037543773651123,170.1999969482422,0.0
28.249825716018677,170.1999969482422,0.0
28.426113605499268,170.1999969482422,0.0
28.65653109550476,170.1999969482422,0.0
28.86466932296753,170.1999969482422,0.0
29.088165998458862,170.1999969482422,0.0
29.312726259231567,170.1999969482422,0.0
29.491060495376587,170.1999969482422,0.0
29.708606481552124,170.1999969482422,0.0
29.89529323577881,170.1999969482422,0.0
30.12886953353882,170.1999969482422,0.0
30.326330184936523,170.1999969482422,0.0
30.604902505874634,170.1999969482422,0.0
31.959137439727783,169.1999969482422,0.0
32.183350801467896,169.1999969482422,0.0
32.39454245567322,169.1999969482422,0.0
32.6252179145813,169.1999969482422,0.0
32.850056171417236,169.1999969482422,0.0
33.054816484451294,168.1999969482422,0.0
33.294699907302856,168.1999969482422,0.0
33.53476643562317,167.1999969482422,0.0
33.97776961326599,167.1999969482422,0.0
34.34519982337952,167.1999969482422,0.0
34.54150342941284,166.1999969482422,0.0
