2024-06-21 16:25:02,255 INFO    StreamThr :1509 [internal.py:wandb_internal():87] W&B internal server running at pid: 1509, started at: 2024-06-21 16:25:02.254826
2024-06-21 16:25:02,256 DEBUG   HandlerThread:1509 [handler.py:handle_request():144] handle_request: status
2024-06-21 16:25:02,258 INFO    WriterThread:1509 [datastore.py:open_for_write():85] open: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240621_162502-jeh1llp5/run-jeh1llp5.wandb
2024-06-21 16:25:02,259 DEBUG   SenderThread:1509 [sender.py:send():336] send: header
2024-06-21 16:25:02,259 DEBUG   SenderThread:1509 [sender.py:send():336] send: run
2024-06-21 16:25:02,263 INFO    SenderThread:1509 [sender.py:_maybe_setup_resume():722] checking resume status for None/YOLOv5/jeh1llp5
2024-06-21 16:25:02,947 INFO    SenderThread:1509 [dir_watcher.py:__init__():219] watching files in: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240621_162502-jeh1llp5/files
2024-06-21 16:25:02,947 INFO    SenderThread:1509 [sender.py:_start_run_threads():1078] run started: jeh1llp5 with start time 1719001502.254153
2024-06-21 16:25:02,947 DEBUG   SenderThread:1509 [sender.py:send_request():363] send_request: summary_record
2024-06-21 16:25:02,947 INFO    SenderThread:1509 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2024-06-21 16:25:02,948 DEBUG   HandlerThread:1509 [handler.py:handle_request():144] handle_request: check_version
2024-06-21 16:25:02,948 DEBUG   SenderThread:1509 [sender.py:send_request():363] send_request: check_version
2024-06-21 16:25:03,048 DEBUG   HandlerThread:1509 [handler.py:handle_request():144] handle_request: run_start
2024-06-21 16:25:03,059 DEBUG   HandlerThread:1509 [system_info.py:__init__():31] System info init
2024-06-21 16:25:03,059 DEBUG   HandlerThread:1509 [system_info.py:__init__():46] System info init done
2024-06-21 16:25:03,059 INFO    HandlerThread:1509 [system_monitor.py:start():183] Starting system monitor
2024-06-21 16:25:03,059 INFO    SystemMonitor:1509 [system_monitor.py:_start():147] Starting system asset monitoring threads
2024-06-21 16:25:03,059 INFO    HandlerThread:1509 [system_monitor.py:probe():204] Collecting system info
2024-06-21 16:25:03,060 INFO    SystemMonitor:1509 [interfaces.py:start():187] Started cpu monitoring
2024-06-21 16:25:03,060 INFO    SystemMonitor:1509 [interfaces.py:start():187] Started disk monitoring
2024-06-21 16:25:03,061 INFO    SystemMonitor:1509 [interfaces.py:start():187] Started gpu monitoring
2024-06-21 16:25:03,062 INFO    SystemMonitor:1509 [interfaces.py:start():187] Started memory monitoring
2024-06-21 16:25:03,063 INFO    SystemMonitor:1509 [interfaces.py:start():187] Started network monitoring
2024-06-21 16:25:03,071 DEBUG   HandlerThread:1509 [system_info.py:probe():195] Probing system
2024-06-21 16:25:03,106 DEBUG   HandlerThread:1509 [system_info.py:_probe_git():180] Probing git
2024-06-21 16:25:03,108 DEBUG   HandlerThread:1509 [system_info.py:_probe_git():188] Probing git done
2024-06-21 16:25:03,108 DEBUG   HandlerThread:1509 [system_info.py:probe():240] Probing system done
