2024-06-21 16:28:45,357 INFO    StreamThr :3229 [internal.py:wandb_internal():87] W&B internal server running at pid: 3229, started at: 2024-06-21 16:28:45.357078
2024-06-21 16:28:45,358 DEBUG   HandlerThread:3229 [handler.py:handle_request():144] handle_request: status
2024-06-21 16:28:45,361 INFO    WriterThread:3229 [datastore.py:open_for_write():85] open: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240621_162845-gitq4lg5/run-gitq4lg5.wandb
2024-06-21 16:28:45,361 DEBUG   SenderThread:3229 [sender.py:send():336] send: header
2024-06-21 16:28:45,361 DEBUG   SenderThread:3229 [sender.py:send():336] send: run
2024-06-21 16:28:45,365 INFO    SenderThread:3229 [sender.py:_maybe_setup_resume():722] checking resume status for None/YOLOv5/gitq4lg5
2024-06-21 16:28:45,922 DEBUG   HandlerThread:3229 [handler.py:handle_request():144] handle_request: check_version
2024-06-21 16:28:45,922 INFO    SenderThread:3229 [dir_watcher.py:__init__():219] watching files in: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240621_162845-gitq4lg5/files
2024-06-21 16:28:45,923 INFO    SenderThread:3229 [sender.py:_start_run_threads():1078] run started: gitq4lg5 with start time 1719001725.356505
2024-06-21 16:28:45,923 DEBUG   SenderThread:3229 [sender.py:send_request():363] send_request: summary_record
2024-06-21 16:28:45,923 INFO    SenderThread:3229 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2024-06-21 16:28:45,923 DEBUG   SenderThread:3229 [sender.py:send_request():363] send_request: check_version
2024-06-21 16:28:46,018 DEBUG   HandlerThread:3229 [handler.py:handle_request():144] handle_request: run_start
2024-06-21 16:28:46,029 DEBUG   HandlerThread:3229 [system_info.py:__init__():31] System info init
2024-06-21 16:28:46,029 DEBUG   HandlerThread:3229 [system_info.py:__init__():46] System info init done
2024-06-21 16:28:46,029 INFO    HandlerThread:3229 [system_monitor.py:start():183] Starting system monitor
2024-06-21 16:28:46,029 INFO    SystemMonitor:3229 [system_monitor.py:_start():147] Starting system asset monitoring threads
2024-06-21 16:28:46,030 INFO    HandlerThread:3229 [system_monitor.py:probe():204] Collecting system info
2024-06-21 16:28:46,030 INFO    SystemMonitor:3229 [interfaces.py:start():187] Started cpu monitoring
2024-06-21 16:28:46,031 INFO    SystemMonitor:3229 [interfaces.py:start():187] Started disk monitoring
2024-06-21 16:28:46,032 INFO    SystemMonitor:3229 [interfaces.py:start():187] Started gpu monitoring
2024-06-21 16:28:46,032 INFO    SystemMonitor:3229 [interfaces.py:start():187] Started memory monitoring
2024-06-21 16:28:46,033 INFO    SystemMonitor:3229 [interfaces.py:start():187] Started network monitoring
2024-06-21 16:28:46,041 DEBUG   HandlerThread:3229 [system_info.py:probe():195] Probing system
2024-06-21 16:28:46,082 DEBUG   HandlerThread:3229 [system_info.py:_probe_git():180] Probing git
2024-06-21 16:28:46,085 DEBUG   HandlerThread:3229 [system_info.py:_probe_git():188] Probing git done
2024-06-21 16:28:46,085 DEBUG   HandlerThread:3229 [system_info.py:probe():240] Probing system done
