2024-06-22 16:15:33,308 INFO    StreamThr :144855 [internal.py:wandb_internal():85] W&B internal server running at pid: 144855, started at: 2024-06-22 16:15:33.307985
2024-06-22 16:15:33,310 DEBUG   HandlerThread:144855 [handler.py:handle_request():158] handle_request: status
2024-06-22 16:15:33,311 INFO    WriterThread:144855 [datastore.py:open_for_write():87] open: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240622_161533-7iu0n6hm/run-7iu0n6hm.wandb
2024-06-22 16:15:33,312 DEBUG   SenderThread:144855 [sender.py:send():379] send: header
2024-06-22 16:15:33,313 DEBUG   SenderThread:144855 [sender.py:send():379] send: run
2024-06-22 16:15:33,317 INFO    SenderThread:144855 [sender.py:_setup_resume():749] checking resume status for None/YOLOv5/7iu0n6hm
2024-06-22 16:15:33,822 INFO    SenderThread:144855 [dir_watcher.py:__init__():211] watching files in: /home/animated/Projects/Sailbot/src/object_detection/object_detection/yolov9/wandb/run-20240622_161533-7iu0n6hm/files
2024-06-22 16:15:33,822 INFO    SenderThread:144855 [sender.py:_start_run_threads():1188] run started: 7iu0n6hm with start time 1719087333.30797
2024-06-22 16:15:33,824 DEBUG   HandlerThread:144855 [handler.py:handle_request():158] handle_request: check_version
2024-06-22 16:15:33,825 DEBUG   SenderThread:144855 [sender.py:send_request():406] send_request: check_version
2024-06-22 16:15:34,242 DEBUG   HandlerThread:144855 [handler.py:handle_request():158] handle_request: run_start
2024-06-22 16:15:34,257 DEBUG   HandlerThread:144855 [system_info.py:__init__():26] System info init
2024-06-22 16:15:34,258 DEBUG   HandlerThread:144855 [system_info.py:__init__():41] System info init done
2024-06-22 16:15:34,258 INFO    HandlerThread:144855 [system_monitor.py:start():194] Starting system monitor
2024-06-22 16:15:34,258 INFO    SystemMonitor:144855 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-22 16:15:34,258 INFO    HandlerThread:144855 [system_monitor.py:probe():214] Collecting system info
2024-06-22 16:15:34,260 INFO    SystemMonitor:144855 [interfaces.py:start():188] Started cpu monitoring
2024-06-22 16:15:34,260 INFO    SystemMonitor:144855 [interfaces.py:start():188] Started disk monitoring
2024-06-22 16:15:34,261 INFO    SystemMonitor:144855 [interfaces.py:start():188] Started gpu monitoring
2024-06-22 16:15:34,262 INFO    SystemMonitor:144855 [interfaces.py:start():188] Started memory monitoring
2024-06-22 16:15:34,263 INFO    SystemMonitor:144855 [interfaces.py:start():188] Started network monitoring
2024-06-22 16:15:34,271 ERROR   HandlerThread:144855 [gpu.py:probe():414] Error Probing GPU: 'utf-8' codec can't decode byte 0xf8 in position 0: invalid start byte
2024-06-22 16:15:34,271 DEBUG   HandlerThread:144855 [system_info.py:probe():152] Probing system
2024-06-22 16:15:34,316 DEBUG   HandlerThread:144855 [system_info.py:_probe_git():137] Probing git
2024-06-22 16:15:34,319 DEBUG   HandlerThread:144855 [system_info.py:_probe_git():145] Probing git done
2024-06-22 16:15:34,319 DEBUG   HandlerThread:144855 [system_info.py:probe():200] Probing system done
